vaccine_uptake,infection_rate,efficacy_symptomatic,hospital_cost,vaccine_cost,symptomatic_loss,long_covid_loss,mortality_loss,informal_care_loss,hosp_prod_loss,total_productivity_loss
0.8,0.0313,0.25,34529766.43632497,1357720080,126915225.55292162,312719115.7623989,2194792664.6893206,0,6480562.19383107,2675437334.634797
0.9,0.0313,0.25,33450711.235189818,1527435090,122949124.75439282,302946643.3948239,2126205393.9177794,0,6278044.62527385,2591829917.9274597
0.95,0.0313,0.25,32911183.634622235,1612292595,120966074.35512841,298060407.2110364,2091911758.5320086,0,6176785.840995238,2550026209.573791
0.8,0.0361,0.25,39825066.08151218,1357720080,146378263.33739522,360676040.8633418,2531374287.38928,0,7474386.428028806,3085728044.0995574
0.9,0.0361,0.25,38580532.76646493,1527435090,141803942.6081016,349404914.58636236,2452268840.9083652,0,7240811.852152905,2989299042.7214465
0.95,0.0361,0.25,37958266.108941294,1612292595,139516782.2434548,343769351.44787264,2412716117.6679077,0,7124024.564214955,2941084542.0323915
0.8,0.0413,0.25,45561640.69713167,1357720080,167463220.9372416,412629376.3893634,2896004378.64757,0,8551029.348409686,3530209646.0197163
0.9,0.0413,0.25,44137839.42534631,1527435090,162229995.28295282,399734708.3771958,2805504241.8148336,0,8283809.681271885,3419890594.5816007
0.95,0.0413,0.25,43425938.78945362,1612292595,159613382.4558084,393287374.3711119,2760254173.398465,0,8150199.847702982,3364731068.862542
0.8,0.0313,0.6,22444348.18361123,1357720080,82494896.60939905,203267425.24555928,1426615232.0480585,0,4212365.425990196,1739034267.512618
0.9,0.0313,0.6,19854615.700886857,1527435090,72976254.69292992,179813491.56337932,1262005782.1963592,0,3726323.261452865,1538376467.4150083
0.95,0.0313,0.6,18559749.459524672,1612292595,68216933.73469537,168086524.7222894,1179701057.27051,0,3483302.1791842002,1438047567.3662035
0.8,0.0361,0.6,25886292.952982917,1357720080,95145871.16930689,234439426.5611722,1645393286.8030322,0,4858351.178218724,2005723228.6647131
0.9,0.0361,0.6,22899412.996869504,1527435090,84167501.41900223,207388723.49642152,1455540215.248836,0,4297772.196116563,1774293625.357246
0.95,0.0361,0.6,21405973.0188128,1612292595,78678316.54384993,193863371.96404624,1360613679.4717383,0,4017482.7050654837,1658578823.703513
0.8,0.0413,0.6,29615066.453135587,1357720080,108851093.60920705,268209094.6530862,1882402846.1209204,0,5558169.076466297,2294636269.9128156
0.9,0.0413,0.6,26197943.400850706,1527435090,96291352.03891392,237261891.42388391,1665202517.7223525,0,4916841.8753355695,2029870546.4613366
0.95,0.0413,0.6,24489381.874708273,1612292595,90011481.25376737,221788289.80928284,1556602353.5230691,0,4596178.274770207,1897487684.7355976
0.8,0.0313,0.75,17264883.21816248,1357720080,63457612.7764608,156359557.8811994,1097396332.34466,0,3240281.0969155347,1337718667.3173983
0.9,0.0313,0.75,14027717.614757016,1527435090,51559310.380874395,127042140.77847452,891634520.0300363,0,2632728.3912438718,1086896417.1953862
0.95,0.0313,0.75,12409134.81305429,1612292595,45610159.18308122,112383432.22711213,788753613.8727248,0,2328952.0384080415,961485292.1343806
0.8,0.0361,0.75,19912533.040756088,1357720080,73189131.66869758,180338020.43167087,1265687143.6946397,0,3737193.2140144026,1542864022.0497785
0.9,0.0361,0.75,16178933.095614322,1527435090,59466169.4808168,146524641.6007326,1028370804.251895,0,3036469.486386702,1253577017.9154453
0.95,0.0361,0.75,14312133.123043446,1612292595,52604688.38687642,129617952.1852635,909712634.5305228,0,2686107.6225728528,1108933515.848279
0.8,0.0413,0.75,22780820.348565828,1357720080,83731610.46862079,206314688.19468164,1448002189.3237846,0,4275514.674204842,1765104823.0098577
0.9,0.0413,0.75,18509416.53320974,1527435090,68031933.5057544,167630684.15817884,1176501778.825575,0,3473855.672791435,1434147668.6955097
0.95,0.0413,0.75,16373714.625531698,1612292595,60182095.02432122,148288682.1399275,1040751573.5764707,0,3073026.172084732,1268669091.5383358
