policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,hospital_cost,vaccine_cost,symptomatic_loss,long_covid_loss,mortality_loss,informal_care_loss,hosp_prod_loss,total_productivity_loss
JCVI Spring 2025 (75+ only),0.8,0.0313,lower,40469536.2041326,117855260,0,0,5405611551.620517,13321698.445281178,0,5459402786.269931
JCVI Spring 2025 (75+ only),0.9,0.0313,lower,38554831.114201546,132587167.5,0,0,4771015824.196216,13321698.445281178,0,4822892353.755698
JCVI Spring 2025 (75+ only),0.95,0.0313,lower,37597478.56923602,139953121.25,0,0,4453717960.484065,13321698.445281178,0,4504637137.498582
JCVI Spring 2025 (75+ only),0.8,0.0361,lower,46675727.05971843,117855260,0,0,6234587125.031969,15364642.615803532,0,6296627494.707491
JCVI Spring 2025 (75+ only),0.9,0.0361,lower,44467393.074206896,132587167.5,0,0,5502673202.98669,15364642.615803532,0,5562505238.676701
JCVI Spring 2025 (75+ only),0.95,0.0361,lower,43363226.08145113,139953121.25,0,0,5136716241.96405,15364642.615803532,0,5195444110.661305
JCVI Spring 2025 (75+ only),0.8,0.0413,lower,53399100.48660308,117855260,0,0,7132643996.22771,17577832.133869417,0,7203620928.848182
JCVI Spring 2025 (75+ only),0.9,0.0413,lower,50872668.530879356,132587167.5,0,0,6295302030.009703,17577832.133869417,0,6363752530.674451
JCVI Spring 2025 (75+ only),0.95,0.0413,lower,49609452.5530175,139953121.25,0,0,5876631046.9007,17577832.133869417,0,5943818331.587586
JCVI Spring 2025 (75+ only),0.8,0.0313,central,37191884.13706664,117855260,0,0,5760985901.46272,13321698.445281178,0,5811499484.045068
JCVI Spring 2025 (75+ only),0.9,0.0313,central,34867472.53875233,132587167.5,0,0,5170811967.768694,13321698.445281178,0,5219001138.7527275
JCVI Spring 2025 (75+ only),0.95,0.0313,central,33705266.73959518,139953121.25,0,0,4875725000.921681,13321698.445281178,0,4922751966.106558
JCVI Spring 2025 (75+ only),0.8,0.0361,central,42895431.86415673,117855260,0,0,6644459777.725373,15364642.615803532,0,6702719852.205334
JCVI Spring 2025 (75+ only),0.9,0.0361,central,40214560.97919998,132587167.5,0,0,5963779937.266769,15364642.615803532,0,6019359140.8617735
JCVI Spring 2025 (75+ only),0.95,0.0361,central,38874125.5367216,139953121.25,0,0,5623440017.037467,15364642.615803532,0,5677678785.189992
JCVI Spring 2025 (75+ only),0.8,0.0413,central,49074275.235171,117855260,0,0,7601556477.009914,17577832.133869417,0,7668208584.378955
JCVI Spring 2025 (75+ only),0.9,0.0413,central,46007240.12301826,132587167.5,0,0,6822828570.889683,17577832.133869417,0,6886413643.14657
JCVI Spring 2025 (75+ only),0.95,0.0413,central,44473722.566941895,139953121.25,0,0,6433464617.829568,17577832.133869417,0,6495516172.530379
JCVI Spring 2025 (75+ only),0.8,0.0313,upper,34784186.68792333,117855260,0,0,5913330656.645725,13321698.445281178,0,5961436541.77893
JCVI Spring 2025 (75+ only),0.9,0.0313,upper,32158812.90846611,132587167.5,0,0,5342199817.349575,13321698.445281178,0,5387680328.703322
JCVI Spring 2025 (75+ only),0.95,0.0313,upper,30846126.018737502,139953121.25,0,0,5056634397.7015,13321698.445281178,0,5100802222.165519
JCVI Spring 2025 (75+ only),0.8,0.0361,upper,40118502.85731732,117855260,0,0,6820167306.866156,15364642.615803532,0,6875650452.339276
JCVI Spring 2025 (75+ only),0.9,0.0361,upper,37090515.84650564,132587167.5,0,0,6161450907.550149,15364642.615803532,0,6213906066.012458
JCVI Spring 2025 (75+ only),0.95,0.0361,upper,35576522.341099806,139953121.25,0,0,5832092707.892146,15364642.615803532,0,5883033872.84905
JCVI Spring 2025 (75+ only),0.8,0.0413,upper,45897345.37416081,117855260,0,0,7802573677.938289,17577832.133869417,0,7866048855.446319
JCVI Spring 2025 (75+ only),0.9,0.0413,upper,42433194.029381804,132587167.5,0,0,7048972921.934104,17577832.133869417,0,7108983948.097355
JCVI Spring 2025 (75+ only),0.95,0.0413,upper,40701118.3569923,139953121.25,0,0,6672172543.932012,17577832.133869417,0,6730451494.4228735
Universal (All Ages),0.8,0.0313,lower,34478903.09954604,1357720080,0,0,2604852076.9068995,13321698.445281178,0,2652652678.4517264
Universal (All Ages),0.9,0.0313,lower,31815368.871541657,1527435090,0,0,1620161415.1433961,13321698.445281178,0,1665298482.4602191
Universal (All Ages),0.95,0.0313,lower,30483601.75753947,1612292595,0,0,1127816084.261645,13321698.445281178,0,1171621384.4644659
