draw,policy_name,vaccine_uptake,vsly_factor,cost_factor,nmb
1,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,441102716.7569079
1,Universal (All Ages),0.8,0.1,0.1,279154028.6797071
1,All Adults (18+),0.8,0.1,0.1,15317809.254694453
1,No Vaccination,0.8,0.1,0.1,1200220866.4669795
2,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,483287257.57141834
2,Universal (All Ages),0.8,0.1,0.1,308783172.8489741
2,All Adults (18+),0.8,0.1,0.1,16782360.32692238
2,No Vaccination,0.8,0.1,0.1,1315210557.4637864
3,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,502848177.4883032
3,Universal (All Ages),0.8,0.1,0.1,359819857.8577152
3,All Adults (18+),0.8,0.1,0.1,17467388.32347752
3,No Vaccination,0.8,0.1,0.1,1365088887.663687
4,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,445925682.1676208
4,Universal (All Ages),0.8,0.1,0.1,241947004.25225157
4,All Adults (18+),0.8,0.1,0.1,15487833.025124533
4,No Vaccination,0.8,0.1,0.1,1211866023.6964765
5,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,499252646.60657346
5,Universal (All Ages),0.8,0.1,0.1,319436207.6329645
5,All Adults (18+),0.8,0.1,0.1,17342174.723705407
5,No Vaccination,0.8,0.1,0.1,1355511866.6378138
6,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,585709330.8693682
6,Universal (All Ages),0.8,0.1,0.1,384815056.8615583
6,All Adults (18+),0.8,0.1,0.1,20349376.3234327
6,No Vaccination,0.8,0.1,0.1,1587911030.9555619
7,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,517555426.0181341
7,Universal (All Ages),0.8,0.1,0.1,350974777.38377094
7,All Adults (18+),0.8,0.1,0.1,17979227.71041412
7,No Vaccination,0.8,0.1,0.1,1404459253.1862254
8,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,458302244.8982313
8,Universal (All Ages),0.8,0.1,0.1,312388291.3422813
8,All Adults (18+),0.8,0.1,0.1,15920093.749449857
8,No Vaccination,0.8,0.1,0.1,1244105236.4804046
9,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,435197748.67857337
9,Universal (All Ages),0.8,0.1,0.1,311954349.06197745
9,All Adults (18+),0.8,0.1,0.1,15114239.600116456
9,No Vaccination,0.8,0.1,0.1,1183288539.3826919
10,JCVI Spring 2025 (75+ only),0.8,0.1,0.1,487615443.6396387
10,Universal (All Ages),0.8,0.1,0.1,346297480.4563656
10,All Adults (18+),0.8,0.1,0.1,16933721.50475017
