policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,vsly_factor,cost_factor,nmb
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.1,0.1,474371876.7860561
Universal (All Ages),0.8,0.0361,central,0.1,0.1,300698232.27350295
All Adults (18+),0.8,0.0361,central,0.1,0.1,16476640.303740615
No Vaccination,0.8,0.0361,central,0.1,0.1,1288696891.6990352
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.1,0.1,474371876.7860561
Universal (All Ages),0.9,0.0361,central,0.1,0.1,177198399.84531146
All Adults (18+),0.9,0.0361,central,0.1,0.1,16476640.303740615
No Vaccination,0.9,0.0361,central,0.1,0.1,1288696891.6990352
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.1,0.1,474371876.7860561
Universal (All Ages),0.95,0.0361,central,0.1,0.1,115448483.63121575
All Adults (18+),0.95,0.0361,central,0.1,0.1,16476640.303740615
No Vaccination,0.95,0.0361,central,0.1,0.1,1288696891.6990352
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.2,0.1,913594975.3883121
Universal (All Ages),0.8,0.0361,central,0.2,0.1,687928447.0461746
All Adults (18+),0.8,0.0361,central,0.2,0.1,16919679.187599026
No Vaccination,0.8,0.0361,central,0.2,0.1,2497686741.8384566
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.2,0.1,913594975.3883121
Universal (All Ages),0.9,0.0361,central,0.2,0.1,461708660.1971396
All Adults (18+),0.9,0.0361,central,0.2,0.1,16919679.187599026
No Vaccination,0.9,0.0361,central,0.2,0.1,2497686741.8384566
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.2,0.1,913594975.3883121
Universal (All Ages),0.95,0.0361,central,0.2,0.1,348598766.77262217
All Adults (18+),0.95,0.0361,central,0.2,0.1,16919679.187599026
No Vaccination,0.95,0.0361,central,0.2,0.1,2497686741.8384566
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.30000000000000004,0.1,1352818073.9905684
Universal (All Ages),0.8,0.0361,central,0.30000000000000004,0.1,1075158661.8188467
All Adults (18+),0.8,0.0361,central,0.30000000000000004,0.1,17362718.071457434
No Vaccination,0.8,0.0361,central,0.30000000000000004,0.1,3706676591.977878
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.30000000000000004,0.1,1352818073.9905684
Universal (All Ages),0.9,0.0361,central,0.30000000000000004,0.1,746218920.5489678
All Adults (18+),0.9,0.0361,central,0.30000000000000004,0.1,17362718.071457434
No Vaccination,0.9,0.0361,central,0.30000000000000004,0.1,3706676591.977878
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.30000000000000004,0.1,1352818073.9905684
Universal (All Ages),0.95,0.0361,central,0.30000000000000004,0.1,581749049.9140285
All Adults (18+),0.95,0.0361,central,0.30000000000000004,0.1,17362718.071457434
No Vaccination,0.95,0.0361,central,0.30000000000000004,0.1,3706676591.977878
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.4,0.1,1792041172.5928242
Universal (All Ages),0.8,0.0361,central,0.4,0.1,1462388876.5915182
All Adults (18+),0.8,0.0361,central,0.4,0.1,17805756.955315847
No Vaccination,0.8,0.0361,central,0.4,0.1,4915666442.117298
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.4,0.1,1792041172.5928242
Universal (All Ages),0.9,0.0361,central,0.4,0.1,1030729180.9007959
All Adults (18+),0.9,0.0361,central,0.4,0.1,17805756.955315847
No Vaccination,0.9,0.0361,central,0.4,0.1,4915666442.117298
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.4,0.1,1792041172.5928242
Universal (All Ages),0.95,0.0361,central,0.4,0.1,814899333.0554348
All Adults (18+),0.95,0.0361,central,0.4,0.1,17805756.955315847
No Vaccination,0.95,0.0361,central,0.4,0.1,4915666442.117298
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.5,0.1,2231264271.1950808
Universal (All Ages),0.8,0.0361,central,0.5,0.1,1849619091.36419
All Adults (18+),0.8,0.0361,central,0.5,0.1,18248795.839174256
No Vaccination,0.8,0.0361,central,0.5,0.1,6124656292.25672
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.5,0.1,2231264271.1950808
Universal (All Ages),0.9,0.0361,central,0.5,0.1,1315239441.252624
All Adults (18+),0.9,0.0361,central,0.5,0.1,18248795.839174256
No Vaccination,0.9,0.0361,central,0.5,0.1,6124656292.25672
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.5,0.1,2231264271.1950808
Universal (All Ages),0.95,0.0361,central,0.5,0.1,1048049616.1968412
All Adults (18+),0.95,0.0361,central,0.5,0.1,18248795.839174256
No Vaccination,0.95,0.0361,central,0.5,0.1,6124656292.25672
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.6,0.1,2670487369.7973366
